owner_org,title,ati_email,packages,created,faa_schedule,opengov_email
ced-dec,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,dec.aiprp-atip.ced@canada.ca,19,2016-09-23,NA,
ceefc-cfuec,Canada Enterprise Emergency Funding Corporation | La Corporation de financement d’urgence d’entreprises du Canada,atip-aiprp@cdev.gc.ca,0,2021-01-09,NA,atip-aiprp@cdev.gc.ca
celd,Canada Eldor Inc. | Canada Eldor Inc.,atip-aiprp@cdev.ca,0,2018-07-27,NA,
cer-rec,Canada Energy Regulator | La Régie de l’énergie du Canada,ATIPOffice-BureauAIPRP@neb-one.gc.ca,78,2016-09-23,NA,
cfia-acia,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,ATIP-CFIA-AIPRP@inspection.gc.ca,239,2016-09-23,2,
cfmws-sbmfc,Canadian Forces Morale and Welfare Services | Services de bien-être et moral des Forces canadiennes,ATIP.AIPRP@cfmws.com,0,2019-07-13,NA,
cgc-ccg,Canadian Grain Commission | Commission canadienne des grains,atip-aiprp@grainscanada.gc.ca,13,2016-09-23,1.1,
cgf-fcc,Canada Growth Fund Inc. | Fonds de Croissance du Canada Inc.,atip-aiprp@cdev.gc.ca,0,2024-08-17,3,
cgfimi-gafcc,Canada Growth Fund Investment Management Inc. | Gestion d’actifs Fonds de croissance du Canada Inc,atipcgf@cgf-fcc.ca,0,2023-11-09,NA,
chhc-sgch,Canada Hibernia Holding Corporation | Société de gestion Canada Hibernia,atip-aiprp@cdev.ca,0,2018-07-27,NA,
chrc-ccdp,Canadian Human Rights Commission | Commission canadienne des droits de la personne,atip.aiprp@chrc-ccdp.gc.ca,6,2016-09-23,1.1,
cib-bic,Canada Infrastructure Bank | La Banque de l’infrastructure du Canada,atip-aiprp@cib-bic.ca,2,2018-04-24,3,
cic,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",ATIP-AIPRP@cic.gc.ca,59,2016-09-23,1,IRCC.Open-Ouvert.IRCC@cic.gc.ca
cicc-ccic,College of Immigration and Citizenship Consultants | Collège des Consultants en Immigration et en Citoyenneté,atip-aiprp@college-ic.ca,0,2023-03-28,NA,
ciccdev,Canada Innovation Corporation | La Corporation d’innovation du Canada,atip-aiprp@cdev.gc.ca,0,2024-08-17,3,
cics-scic,Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,,1,2016-09-23,NA,
cihr-irsc,Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,ATIPCoordinator@cihr-irsc.gc.ca,32,2016-09-23,2,
cirb-ccri,Canada Industrial Relations Board | Conseil canadien des relations industrielles,ATIP-AIPRP@tribunal.gc.ca,0,2016-09-23,NA,
citt-tcce,Canadian International Trade Tribunal | Tribunal canadien du commerce extérieur,ATIP-AIPRP@tribunal.gc.ca,0,2016-09-23,NA,
clccl-siccl,Canada Lands Company CLC Limited | Société immobilière du Canada CLC limitée,atip-aiprp@clc-sic.ca,0,2018-07-27,NA,
clcl-sicl,Canada Lands Company Limited | Société immobilière du Canada Limitée,atip-aiprp@clc-sic.ca,0,2016-09-23,3,
cmc-mcc,Canadian Museum of History | Musée canadien de l'histoire,AIPRP-ATIP@museedelhistoire.ca,7,2016-09-23,3,
cmhc-schl,Canada Mortgage and Housing Corporation | Société canadienne d'hypothèques et de logement,ATIP-AIPRP@cmhc.ca,37,2016-09-23,3,
cmhr-mcdp,Canadian Museum for Human Rights | Musée canadien pour les droits de la personne,atip@humanrights.ca,0,2016-09-23,3,
cmip-mciq,Canadian Museum of Immigration at Pier 21 | Musée canadien de l'immigration du Quai 21,ablack@pier21.ca,5,2016-09-23,3,
cmn-mcn,Canadian Museum of Nature | Musée canadien de la nature,kdoucette@nature.ca,0,2016-09-23,3,
cnlopb,Canada-Newfoundland and Labrador Offshore Petroleum Board | Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,TBennett@cnlopb.nl.ca,0,2016-09-23,NA,
cnsc-ccsn,Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,ATIP-AIPRP@cnsc-ccsn.gc.ca,69,2016-09-23,2,
cnsopb,Canada-Nova Scotia Offshore Energy Regulator  | Régie Canada-Nouvelle-Écosse de l’énergie extracôtière ,atip@cnsoer.ca,0,2016-09-23,NA,
cpata-cabamc,College of Patent Agents and Trademark Agents | Collège des agents de brevets et des agents de marques de commerce,adiaz@cpata-cabamc.ca,0,2023-09-16,NA,admin@cpata-cabamc.ca
cpc-cpp,Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,ATIP.AIPRP@crcc-ccetp.gc.ca,27,2016-09-23,1.1,
cpc-scp,Canada Post | Postes Canada,ATIP_AIPRP@canadapost.postescanada.ca,0,2016-09-23,3,
cra-arc,Canada Revenue Agency | Agence du revenu du Canada,INT-REC-G@cra-arc.gc.ca,303,2016-09-23,2,
crrf-fcrr,Canadian Race Relations Foundation | La Fondation Canadienne des relations raciales,atavassoli@crrf-fcrr.ca,0,2018-04-24,NA,
crtc,Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,AIPRP-ATIP@crtc.gc.ca,73,2016-09-23,1.1,
csa-asc,Canadian Space Agency | Agence spatiale canadienne,AIPRP-ATIP@asc-csa.gc.ca,132,2016-09-23,1.1,
csc-scc,Correctional Service of Canada | Service correctionnel du Canada,CSC.ATIP-AIPRP.SCC@csc-scc.gc.ca,210,2016-09-23,1.1,
csec-cstc,Communications Security Establishment Canada | Centre de la sécurité des télécommunications Canada,atip-aiprp@cse-cst.gc.ca,251,2016-09-23,NA,
csis-scrs,Canadian Security Intelligence Service | Service canadien du renseignement de sécurité,ATIP-AIPRP@smtp.gc.ca,18,2016-09-23,1.1,
csps-efpc,Canada School of Public Service | École de la fonction publique du Canada,atipaiprp@csps-efpc.gc.ca,9,2016-09-23,2,
cstm-mstc,Canada Science and Technology Museum | Musée des sciences et de la technologie du Canada,atip-aiprp@ingeniumcanada.org,11,2016-09-23,NA,
cta-otc,Canadian Transportation Agency | Office des transports du Canada,OTC.AIPRP-ATIP.CTA@otc-cta.gc.ca,8,2016-09-23,1.1,
ctc-cct,Destination Canada | Destination Canada,atip-aiprp@destinationcanada.com,0,2016-09-23,NA,
cwa-aec,Canada Water Agency | Agence de l’eau du Canada,atip-aiprp@cwa-aec.gc.ca,0,2024-11-21,1,
dcc-cdc,Defence Construction Canada | Construction de Défense Canada,ATIP-AIPRP@DCC-CDC.gc.ca,3,2016-09-23,NA,
dfatd-maecd,Global Affairs Canada | Affaires mondiales Canada,dcp@international.gc.ca,1005,2016-09-23,1,
dfi-ifd,Development Finance Institution - FinDev Canada | Institution de financement du développement - FinDev Canada,atipteam@edc.ca,2,2023-06-13,NA,
dfo-mpo,Fisheries and Oceans Canada | Pêches et Océans Canada,atip-laiprp@dfo-mpo.gc.ca,789,2016-09-23,1,
dnd-mdn,National Defence | Défense nationale,ATIP-AIPRP@forces.gc.ca,160,2016-09-23,1,
ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada,ecatip-ecaiprp@ec.gc.ca,1110,2016-09-23,NA,
edc,Export Development Canada | Exportation et développement Canada,atipteam@edc.ca,8,2016-09-23,3,
elections,Elections Canada | Élections Canada,aiprp-atip@elections.ca,46,2016-09-23,NA,
erc-cee,RCMP External Review Committee | Comité externe d'examen de la GRC,corporateandhrservices-servicesgenerauxetrh@erc-cee.gc.ca,0,2016-09-23,NA,
esdc-edsc,Employment and Social Development Canada | Emploi et Développement social Canada,NC-COMM-ATIP-AIPRP-GD@hrsdc-rhdcc.gc.ca,233,2016-09-23,NA,
exi,Exinvest Inc. | Exinvest Inc.,ATIPteam@edc.ca,0,2018-07-27,NA,
fbcl-spfl,Federal Bridge Corporation | Société des ponts fédéraux,info@federalbridge.ca,9,2016-09-23,3,
fcac-acfc,Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,Nathalie.forester@fcac-acfc.gc.ca,31,2016-09-23,1.1,
fcc-fac,Farm Credit Canada | Financement agricole Canada,ATIP_AIPRP@fcc-fac.ca,0,2016-09-23,3,
feddevontario,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,atip-aiprp@feddevontario.gc.ca,11,2016-09-23,1.1,im-it-gi-ti@feddevontario.gc.ca
fednor,Federal Economic Development Agency for Northern Ontario | Agence fédérale de développement économique pour le Nord de l’Ontario,fednor-atipinbox@ised-isde.gc.ca,4,2021-12-23,1.1,fednor-atipinbox@ised-isde.gc.ca
ffmc-ocped,Freshwater Fish Marketing Corporation | Office de commercialisation du poisson d'eau douce,ATIPcontrol@freshwaterfish.com,0,2016-09-23,3,
fin,Department of Finance Canada | Ministère des Finances Canada,fin.atip-aiprp.fin@canada.ca,105,2016-09-23,1,
fintrac-canafe,Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,atip-aiprp@fintrac-canafe.gc.ca,26,2016-09-23,NA,
fja-cmf,Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,,0,2016-09-23,NA,
fnfmb-cgfpn,First Nations Financial Management Board | Conseil de gestion financière des premières nations,mail@fnfmb.com,0,2018-07-27,NA,
fntc-cfpn,First Nations Tax Commission | Commission de la fiscalité des premières nations,atip@fntc.ca,0,2016-09-23,NA,
fpcc-cpac,Farm Products Council of Canada | Conseil des produits agricoles du Canada,FPCATIP-AIPRPCPAC.CPAC@canada.ca,0,2016-09-23,1.1,
fraidg-ciafimd,Office of the Administrator of the Fund for Railway Accidents Involving Designated Goods; (operating under the name) Ship and Rail Compensation Canada | Bureau de l’administrateur de la Caisse d’indemnisation pour les accidents ferroviaires impliquant des marchandises désignées; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,atip-aiprp@sr-nr.gc.ca,0,2018-08-21,NA,
glpa-apgl,Great Lakes Pilotage Authority Canada | Administration de pilotage des Grands Lacs Canada,kpecore@glpa-apgl.com,0,2016-09-23,NA,
glwb-ogte,Gwich’in Land and Water Board | Office Gwich’in des terres et des eaux,l.debastien@glwb.com,0,2018-08-21,NA,
halpa-aphal,Halifax Port Authority | Administration portuaire de Halifax,ATIP-AIPRP@porthalifax.ca,0,2018-07-27,NA,ATIP-AIPRP@porthalifax.ca
hampa-apham,Hamilton-Oshawa  Port Authority | Administration portuaire de Hamilton-Oshawa,atip@hopaports.ca,0,2018-07-27,NA,
hc-sc,Health Canada | Santé Canada,hc.atip-aiprp.sc@canada.ca,2953,2016-09-23,1,
hgr-tgf,VIA HFR - VIA TGF Inc. | VIA HFR - VIA TGF Inc.,,0,2023-12-01,NA,
hsmbc-clmhc,Historic Sites and Monuments Board of Canada | Commission des lieux et monuments historiques du Canada,pc.clmhc-hsmbc.pc@canada.ca,0,2018-08-21,NA,
iaac-aeic,Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada,atip-aiprp@iaac-aeic.gc.ca,93,2016-09-23,1.1,
ic,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",ic.atip-aiprpa.ic@ised-isde.gc.ca,90,2016-09-23,NA,
idrc-crdi,International Development Research Centre | Centre de recherches pour le développement international,llahaie@idrc.ca,2,2016-09-23,NA,
iic-iac,Invest in Canada | Investir Au Canada,open-ouvert@tbs-sct.gc.ca,14,2021-05-07,2,
ijc-cmi,International Joint Commission | Commission mixte internationale,open-ouvert@tbs-sct.gc.ca,0,2017-09-07,NA,
infc,"Department of Housing, Infrastructure and Communities | Ministère du Logement, de l’Infrastructure et des Collectivités",atip-aiprp@infc.gc.ca,15,2016-09-23,1.1,
innovation,Canada Foundation for Innovation | Fondation canadienne pour l’innovation,isabelle.henrie@innovation.ca,0,2016-09-23,NA,
irb-cisr,Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de réfugié du Canada,atip@irb-cisr.gc.ca,2,2016-09-23,1.1,
isc-sac,Indigenous Services Canada | Services aux Autochtones Canada,aadnc.atiprequest-aiprpdemande.aandc@canada.ca,29,2018-02-01,1,
jccbi-pjcci,Jacques Cartier and Champlain Bridges Incorporated | Ponts Jacques Cartier et Champlain Incorporée,atip-aiprp@pjcci.ca,1,2016-09-23,NA,
jfpc-cfp,The Joint Federal/Provincial Commission into the April 2020 Nova Scotia Mass Casualty | Commission fédérale-provinciale sur les événements d’avril 2020 en Nouvelle Écosse,open-ouvert@tbs-sct.gc.ca,0,2021-03-25,NA,open-ouvert@tbs-sct.gc.ca
jus,Department of Justice Canada | Ministère de la Justice Canada,ATIP-AIPRP-JusticeCanada@justice.gc.ca,485,2016-09-23,1,
lac-bac,Library and Archives Canada | Bibliothèque et Archives Canada,daiprp-atipd@bac-lac.gc.ca,52,2016-09-23,NA,
lpa-apl,Laurentian Pilotage Authority Canada | Administration de pilotage des Laurentides Canada,Josee.Bonneville@apl.gc.ca,1,2016-09-23,NA,
mai,Marine Atlantic Inc. | Marine Atlantique S.C.C.,atip-aiprp@ma.ca,0,2016-09-23,3,
mgerc-ceegm,Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,mgerc.atip-aiprp.ceegm@mgerc-ceegm.gc.ca,2,2016-09-23,1.1,
mint-monnaie,Royal Canadian Mint | Monnaie royale canadienne,atip@mint.ca,2,2016-09-23,3,
mlvwb-otevm,Mackenzie Valley Land and Water Board | Office des terres et des eaux de la vallée du Mackenzie Valley,swhitehouse@wlwb.ca,0,2018-08-21,NA,
mpa-apm,Montreal Port Authority | Administration portuaire de Montréal,rouaneta@port-montreal.com,0,2016-09-23,NA,
mpcc-cppm,Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,atip-aiprp@mpcc-cppm.gc.ca,0,2016-09-23,1.1,
mveirb-oervm,Mackenzie Valley Environmental Impact Review Board | Office d’examen des répercussions environnementales de la vallée du Mackenzie,atipcoordinator@reviewboard.ca,0,2018-08-21,NA,
nac-cna,National Arts Centre | Centre national des Arts,carl.martin@nac-cna.ca,0,2016-09-23,NA,
nbc-ccbn,The National Battlefields Commission | Commission des champs de bataille nationaux,anne.chouinard@ccbn-nbc.gc.ca,1,2016-09-23,NA,
ncc-ccn,National Capital Commission | Commission de la capitale nationale,atip-aiprp@ncc-ccn.ca,24,2016-09-23,3,atip-aiprp@ncc-ccn.ca
ndcfo-odnfc,National Defence and Canadian Forces Ombudsman | Ombudsman de la Défense nationale et des Forces canadiennes,Ombudsman-ATIP-AIPRP-DNDCF@forces.gc.ca,1,2016-09-23,NA,
nfb-onf,National Film Board | Office national du film,ATIP-AIPRP@nfb.ca,14,2016-09-23,NA,
ngc-mbac,National Gallery of Canada | Musée des beaux-arts du Canada,atip@gallery.ca,0,2016-09-23,3,
nirb-cner,Nunavut Impact Review Board | La Commission du Nunavut chargée de l’examen des répercussions,bbeattie@nirb.ca,0,2018-08-21,NA,
nnpa-apn,Nanaimo Port Authority | Administration portuaire de Nanaïmo,arolston@npa.ca,0,2016-09-23,NA,
npa-apn,Northern Pipeline Agency Canada | Administration du pipe-line du Nord Canada,AIPRP.ATIP@NRCan-RNCan.gc.ca,0,2016-09-23,1.1,
nrc-cnrc,National Research Council Canada | Conseil national de recherches Canada,ATIP-AIPRP@nrc-cnrc.gc.ca,53,2016-09-23,2,
nrcan-rncan,Natural Resources Canada | Ressources naturelles Canada,AIPRP.ATIP@NRCan-RNCan.gc.ca,10154,2016-09-23,1,
nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada,ATIP-AIPRP@NSERC-CRSNG.GC.CA,5,2016-09-23,NA,
nsira-ossnr,National Security and Intelligence Review Agency | Office de surveillance des activités en matière de sécurité nationale et de renseignement,ATIP@nsira-ossnr.gc.ca,1,2020-01-18,1.1,
oag-bvg,Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,atip-aiprp@oag-bvg.gc.ca,308,2016-09-23,NA,
occe-bcef,Commissioner of Canada Elections  | Commissaire aux élections fédérales ,aiprp-atip@elections.ca,4,2022-10-11,NA,
oci-bec,The Correctional Investigator Canada | L'Enquêteur correctionnel Canada,jean-frederic.boulais@oci-bec.gc.ca,1,2016-09-23,NA,
ocl-cal,Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,atip-aiprp@ocl-cal.gc.ca,23,2016-09-23,1.1,
ocol-clo,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,AIPRP-ATIP@clo-ocol.gc.ca,9,2016-09-23,1.1,
ocsec-bccst,Office of the Intelligence Commissioner | Bureau du commissaire au renseignement,Info@ico-bcr.gc.ca,4,2016-09-23,1.1,
oic-ci,Office of the Information Commissioner of Canada | Commissariat à l'information du Canada,ATIP-Services-AIPRP@oic-ci.gc.ca,3,2016-09-23,NA,
opc-cpvp,Office of the Privacy Commissioner of Canada | Commissariat à la protection de la vie privée du Canada,atip-aiprp@priv.gc.ca,36,2016-09-23,1.1,
opmc-svpm,Old Port of Montreal Corporation Inc. | Société du Vieux-Port de Montréal Inc.,atip-aiprp@clc-sic.ca,0,2018-07-27,NA,
org231,Law Commission of Canada | Commission du droit du Canada,BMS-SGA@lcc-cdc.gc.ca,0,2016-09-23,2,
osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada,atip-aiprp@osfi-bsif.gc.ca,25,2016-09-23,1.1,
osgg-bsgg,Office of the Secretary to the Governor General | Bureau du secrétaire du gouverneur général,,1,2016-09-23,NA,
oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables,josee.gaudet@oto-boc.gc.ca,0,2016-12-13,NA,info@oto-boc.gc.ca
ovo-bov,Office of the Veterans Ombudsman | Bureau de l'ombudsman des vétérans,ovoatip-bovaiprp@ombudsman-veterans.gc.ca,0,2017-05-20,NA,open-ouvert@tbs-sct.gc.ca
pacifican,Pacific Economic Development Canada | Développement économique Canada pour le Pacifique,pacifican.atip-aiprp@pacifican.gc.ca,3,2021-08-24,1.1,
papa-appa,Port Alberni Port Authority | Administration portuaire de Port Alberni,molson@papa-appa.ca,0,2016-09-23,NA,
pb,Port of Belledune | Port de Belledune,moffitt@portofbelledune.ca,0,2016-09-23,NA,
pbc-clcc,Parole Board of Canada | Commission des libérations conditionnelles du Canada,ATIP-AIPRP@PBC-CLCC.GC.CA,18,2016-09-23,1.1,
pc,Parks Canada | Parcs Canada,pc.aiprp-atip.pc@canada.ca,574,2016-09-23,2,
pch,Canadian Heritage | Patrimoine canadien,aiprp-atip@pch.gc.ca,126,2016-09-23,1,
pco-bcp,Privy Council Office | Bureau du Conseil privé,ATIP-AIPRP@pco-bcp.gc.ca,5,2016-09-23,1.1,
pdp,Parc Downsview Park Inc. | Parc Downsview Park Inc,atip-aiprp@clc-sic.ca,0,2018-07-27,NA,
petf-fpet,Pierre Elliott Trudeau Foundation | Fondation Pierre Elliott Trudeau,communications@FondationTrudeau.ca,0,2016-09-23,NA,
phac-aspc,Public Health Agency of Canada | Agence de la santé publique du Canada,ATIP-AIPRP@HC-SC.GC.CA,757,2016-09-23,1.1,
pkcc-pcprc,President of the King’s Privy Council for Canada | Président du Conseil privé du Roi pour le Canada,ATIP-AIPRP@pco-bcp.gc.ca,0,2020-01-31,NA,
pmo-cpm,Office of the Prime Minister | Cabinet du premier ministre,ATIP-AIPRP@pco-bcp.gc.ca,0,2019-07-30,NA,
pmprb-cepmb,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des médicaments brevetés Canada,pmprb.atip-aiprb.cepmb@pmprb-cepmb.gc.ca,3,2016-09-23,1.1,Johanne.gamache@pmprb-cepmb.gc.ca
polar-polaire,Polar Knowledge Canada | Savoir polaire Canada,Brodie.larocque@polar-polaire.gc.ca,2,2016-09-23,2,
ppa-app,Pacific Pilotage Authority Canada | Administration de pilotage du Pacifique Canada,smackenzie@ppa.gc.ca,0,2016-09-23,3,
ppsc-sppc,Public Prosecution Service of Canada | Service des poursuites pénales du Canada,ATIP-AIPRP@ppsc-sppc.gc.ca,8,2016-09-23,NA,
pptc,Passport Canada | Passeport Canada,ATIP-AIPRP@pptc.gc.ca,0,2016-09-23,NA,
prairiescan,Prairies Economic Development Canada | Développement économique Canada pour les Prairies,atip-aiprp@prairiescan.gc.ca,7,2021-08-24,NA,
prpa-appr,Prince Rupert Port Authority | L’Administration portuaire de Prince Rupert,bbaath@rupertport.com,0,2016-12-14,NA,accesstoinformation@rupertport.com
ps-sp,Public Safety Canada | Sécurité publique Canada,atip-aiprp@ps-sp.gc.ca,8,2016-09-23,1,
psc-cfp,Public Service Commission of Canada | Commission de la fonction publique du Canada,CFP.AIPRP-ATIP.PSC@cfp-psc.gc.ca,133,2016-09-23,1.1,
pshcp-rssfp,Federal Public Service Health Care Plan Administration Authority | Administration du Régime de soins de santé de la fonction publique fédérale,atip-aiprp@pshcp.ca,0,2016-09-23,NA,
psi,Port of Sept-Iles | Port de Sept-Îles,pkeays@portsi.com,0,2016-09-23,NA,
psic-ispc,Office of the Public Sector Integrity Commissioner of Canada | Commissariat à l'intégrité du secteur public du Canada,info@psic-ispc.gc.ca,0,2016-09-23,1.1,
pslrb-crtfp,Public Service Labour Relations Board | Commission des relations de travail dans la fonction publique,Julie.Raymond@pslrb-crtfp.gc.ca,0,2016-09-23,NA,
pspib-oirpsp,Public Sector Pension Investment Board | Office d’investissement des régimes de pensions du secteur public,ATIP@investpsp.ca,0,2016-09-23,NA,
ptr,Port of Trois-Rivières | Port de Trois-Rivières,forcier@porttr.com,0,2016-09-23,NA,
pwgsc-tpsgc,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,aiprp.atip@tpsgc-pwgsc.gc.ca,219,2016-09-23,1,
qpa-apq,Quebec Port Authority | Administration portuaire de Québec,demande-acces@portquebec.ca,0,2016-09-23,NA,
rcmp-grc,Royal Canadian Mounted Police | Gendarmerie royale du Canada,ATIP-AIPRP@rcmp-grc.gc.ca,75,2016-09-23,1.1,
ri,Revera Inc. | Revera Inc.,info@investpsp.ca,0,2016-09-23,NA,
scc-ccn,Standards Council of Canada | Conseil canadien des normes,atip-aiprp@scc.ca,6,2016-09-23,3,
scc-csc,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act | Registraire de la Cour suprême du Canada et le secteur de l'administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,,0,2016-09-23,NA,
sdtc-tddc,Sustainable Development Technology Canada | Technologies du développement durable Canada,ATIP-AIPRP@sdtc.ca,0,2016-09-23,NA,
sibc-cpivml,"The Seaway International Bridge Corporation | Corporation du pont international de la voie maritime, Ltée",info@federalbridge.ca,7,2016-09-23,NA,
sirc-csars,Security Intelligence Review Committee | Comité de surveillance des activités de renseignement de sécurité,Stephanie.dion@sirc-csars.gc.ca,0,2016-09-23,NA,
sjpa-apsj,St. John's Port Authority | Administration portuaire de St. John's,shanrahan@sjpa-apsj.com,0,2016-09-23,NA,
slupb-cats,Sahtu Land Use Planning Board | Conseil de l’aménagement du territoire du Sahtu,exec_director@sahtulanduseplan.org,0,2018-08-21,NA,
slwb-otes,Sahtu Land and Water Board | Office des terres et des eaux du Sahtu,patricia.mcneely@slwb.com,0,2018-08-21,NA,
snsicp-scpssnr,Secretariat of the National Security and Intelligence Committee of Parliamentarians | Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,generalinquiries-renseignementsgeneraux@nsicop-cpsnr.gc.ca,7,2018-07-27,1.1,generalinquiries-renseignementsgeneraux@nsicop-cpsnr.gc.ca
sopf-cidp,Office of the Administrator of the Ship-source Oil Pollution Fund; (operating under the name) Ship and Rail Compensation Canada | Bureau de l’administrateur de la Caisse d’indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,atip-aiprp@sr-nr.gc.ca,0,2016-09-23,NA,
spa-aps,Saguenay Port Authority | Administration portuaire du Saguenay,apoudrier@portsaguenay.ca,0,2016-09-23,NA,
ssc-spc,Shared Services Canada | Services partagés Canada,ATIP-AIPRP@ssc-spc.gc.ca,110,2016-09-23,1.1,
