Year,Month,Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Packages
2025,2,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,12,11
2025,2,Department of Justice Canada,Ministère de la Justice Canada,jus,26,23
2025,2,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,29,23
2025,2,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,18,18
2025,2,Export Development Canada,Exportation et développement Canada,edc,1,1
2025,2,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,fednor,1,1
2025,2,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,feddevontario,2,2
2025,2,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,5,3
2025,2,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,11,9
2025,2,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,68,61
2025,2,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,77,75
2025,2,Health Canada,Santé Canada,hc-sc,36,32
2025,2,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,22,20
2025,2,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,712,455
2025,2,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,15,15
2025,2,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,51,51
2025,2,Invest in Canada,Investir Au Canada,iic-iac,2,2
2025,2,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,150,146
2025,2,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires,mgerc-ceegm,2,2
2025,2,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,mpcc-cppm,1,1
2025,2,Montreal Port Authority,Administration portuaire de Montréal,mpa-apm,34,2
2025,2,National Capital Commission,Commission de la capitale nationale,ncc-ccn,6,5
2025,2,National Defence,Défense nationale,dnd-mdn,142,122
2025,2,National Film Board,Office national du film,nfb-onf,1,1
2025,2,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,1,1
2025,2,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,2,2
2025,2,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,20,20
2025,2,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,npa-apn,1,1
2025,2,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,4,4
2025,2,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,5,5
2025,2,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,2,2
2025,2,Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,opmc-svpm,4,2
2025,2,Pacific Pilotage Authority Canada,Administration de pilotage du Pacifique Canada,ppa-app,1,1
2025,2,Parks Canada,Parcs Canada,pc,60,60
2025,2,Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc-clcc,2,2
2025,2,Prince Rupert Port Authority,L’Administration portuaire de Prince Rupert,prpa-appr,18,3
2025,2,Privy Council Office,Bureau du Conseil privé,pco-bcp,38,29
2025,2,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,26,25
2025,2,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,5,5
2025,2,Public Safety Canada,Sécurité publique Canada,ps-sp,58,55
2025,2,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,1,1
2025,2,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,6,6
2025,2,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,64,57
2025,2,Quebec Port Authority,Administration portuaire de Québec,qpa-apq,3,3
2025,2,Royal Canadian Mint,Monnaie royale canadienne,mint-monnaie,2,1
2025,2,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,364,301
2025,2,Shared Services Canada,Services partagés Canada,ssc-spc,16,11
2025,2,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,sshrc-crsh,2,2
2025,2,Statistics Canada,Statistique Canada,statcan,6,4
2025,2,Transport Canada,Transports Canada,tc,118,107
2025,2,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,8,8
2025,2,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,16,12
2025,2,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,1,1
2025,2,Vancouver Fraser Port Authority,Administration portuaire Vancouver Fraser,vfpa-apvf,6,6
2025,2,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,20,20
2025,2,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,4,4
2025,2,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,wdba-apwd,2,1
2025,2,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,wage,27,11
2025,1,Accessibility Standards Canada,Normes d’accessibilité Canada,casdo-ocena,4,2
2025,1,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,19,12
2025,1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa-apeca,1,1
2025,1,Business Development Bank of Canada,Banque de développement du Canada,bdc,9,8
2025,1,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,82,74
2025,1,Canada Council for the Arts,Conseil des arts du Canada,cca-cac,2,1
2025,1,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,cdev,4,2
2025,1,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,ced-dec,1,1
2025,1,Canada Energy Regulator,La Régie de l’énergie du Canada,cer-rec,4,2
2025,1,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,4,3
2025,1,Canada Lands Company CLC Limited,Société immobilière du Canada CLC limitée,clccl-siccl,1,1
2025,1,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,29,17
2025,1,Canada Post,Postes Canada,cpc-scp,4,4
2025,1,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,74,53
2025,1,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,9,8
2025,1,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,22,21
2025,1,Canadian Heritage,Patrimoine canadien,pch,106,89
2025,1,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,3,2
2025,1,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,1,1
2025,1,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,1,1
2025,1,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,4,4
2025,1,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,7,6
2025,1,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,82,68
2025,1,Canadian Space Agency,Agence spatiale canadienne,csa-asc,4,3
2025,1,Canadian Transportation Agency,Office des transports du Canada,cta-otc,2,1
2025,1,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,3,2
2025,1,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,27,20
2025,1,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,48,34
2025,1,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,22,19
2025,1,Department of Finance Canada,Ministère des Finances Canada,fin,49,49
2025,1,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,66,50
2025,1,Department of Justice Canada,Ministère de la Justice Canada,jus,28,24
2025,1,Elections Canada,Élections Canada,elections,1,1
2025,1,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,24,21
2025,1,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,25,24
2025,1,Export Development Canada,Exportation et développement Canada,edc,1,1
2025,1,Federal Bridge Corporation,Société des ponts fédéraux,fbcl-spfl,2,1
2025,1,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,fednor,1,1
2025,1,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,3,2
2025,1,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,4,4
2025,1,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,51,51
2025,1,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,185,163
2025,1,Health Canada,Santé Canada,hc-sc,246,238
2025,1,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,35,30
2025,1,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,590,421
2025,1,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac-aeic,1,1
2025,1,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,48,42
2025,1,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,72,67
2025,1,Invest in Canada,Investir Au Canada,iic-iac,2,2
2025,1,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,101,86
2025,1,National Capital Commission,Commission de la capitale nationale,ncc-ccn,9,9
2025,1,National Defence,Défense nationale,dnd-mdn,98,88
2025,1,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,10,7
2025,1,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,10,7
2025,1,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,71,71
2025,1,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,nserc-crsng,1,1
2025,1,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,1,1
2025,1,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,5,4
2025,1,Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,opmc-svpm,1,1
2025,1,Parks Canada,Parcs Canada,pc,21,20
2025,1,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,pmprb-cepmb,1,1
2025,1,Prince Rupert Port Authority,L’Administration portuaire de Prince Rupert,prpa-appr,1,1
2025,1,Privy Council Office,Bureau du Conseil privé,pco-bcp,194,125
2025,1,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,40,33
2025,1,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,7,5
2025,1,Public Safety Canada,Sécurité publique Canada,ps-sp,86,69
2025,1,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,12,12
2025,1,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,5,5
2025,1,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,55,43
2025,1,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,231,180
2025,1,Shared Services Canada,Services partagés Canada,ssc-spc,10,8
2025,1,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,sshrc-crsh,2,2
2025,1,Statistics Canada,Statistique Canada,statcan,15,15
2025,1,Transport Canada,Transports Canada,tc,68,66
2025,1,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,6,5
2025,1,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,32,32
2025,1,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,1,1
2025,1,Vancouver Fraser Port Authority,Administration portuaire Vancouver Fraser,vfpa-apvf,2,2
2025,1,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,4,4
2025,1,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,2,2
2025,1,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,wdba-apwd,4,2
2025,1,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,wage,3,3
2024,12,Accessibility Standards Canada,Normes d’accessibilité Canada,casdo-ocena,13,13
2024,12,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,17,10
2024,12,Belledune Port Authority,Administration portuaire de Belledune,bpa-apd,3,1
2024,12,Business Development Bank of Canada,Banque de développement du Canada,bdc,6,3
2024,12,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,87,69
2024,12,Canada Council for the Arts,Conseil des arts du Canada,cca-cac,3,1
2024,12,Canada Energy Regulator,La Régie de l’énergie du Canada,cer-rec,2,1
2024,12,Canada Foundation for Innovation,Fondation canadienne pour l’innovation,innovation,3,2
2024,12,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,9,6
2024,12,Canada Post,Postes Canada,cpc-scp,4,4
2024,12,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,79,60
2024,12,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,9,7
2024,12,Canadian Commercial Corporation,Corporation commerciale canadienne,ccc,2,2
2024,12,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,21,20
2024,12,Canadian Forces Morale and Welfare Services,Services de bien-être et moral des Forces canadiennes,cfmws-sbmfc,1,1
2024,12,Canadian Heritage,Patrimoine canadien,pch,18,17
2024,12,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,2,2
2024,12,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,2,2
2024,12,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,1,1
2024,12,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,cmip-mciq,2,1
2024,12,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,16,16
2024,12,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,3,3
2024,12,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,46,35
2024,12,Canadian Space Agency,Agence spatiale canadienne,csa-asc,1,1
2024,12,Canadian Transportation Agency,Office des transports du Canada,cta-otc,2,1
2024,12,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,5,4
2024,12,College of Immigration and Citizenship Consultants,Collège des Consultants en Immigration et en Citoyenneté,cicc-ccic,3,1
2024,12,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,3,3
2024,12,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,23,21
2024,12,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,43,29
2024,12,Defence Construction Canada,Construction de Défense Canada,dcc-cdc,1,1
2024,12,Department of Finance Canada,Ministère des Finances Canada,fin,47,44
2024,12,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,15,15
2024,12,Department of Justice Canada,Ministère de la Justice Canada,jus,27,20
2024,12,Elections Canada,Élections Canada,elections,10,10
2024,12,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,27,22
2024,12,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,32,21
2024,12,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,feddevontario,1,1
2024,12,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,3,3
2024,12,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,82,81
2024,12,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,178,146
2024,12,Health Canada,Santé Canada,hc-sc,174,160
2024,12,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,22,18
2024,12,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,767,470
2024,12,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,42,37
2024,12,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,74,70
2024,12,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,268,209
2024,12,Mackenzie Valley Land and Water Board,Office des terres et des eaux de la vallée du Mackenzie Valley,mlvwb-otevm,1,1
2024,12,Montreal Port Authority,Administration portuaire de Montréal,mpa-apm,3,3
2024,12,National Capital Commission,Commission de la capitale nationale,ncc-ccn,2,2
2024,12,National Defence,Défense nationale,dnd-mdn,245,193
2024,12,National Gallery of Canada,Musée des beaux-arts du Canada,ngc-mbac,1,1
2024,12,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,2,2
2024,12,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,3,2
2024,12,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,117,113
2024,12,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,nserc-crsng,1,1
2024,12,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,ocol-clo,2,2
2024,12,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,2,1
2024,12,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,3,3
2024,12,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,1,1
2024,12,Pacific Pilotage Authority Canada,Administration de pilotage du Pacifique Canada,ppa-app,1,1
2024,12,Parks Canada,Parcs Canada,pc,40,21
2024,12,Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc-clcc,2,1
2024,12,Privy Council Office,Bureau du Conseil privé,pco-bcp,92,70
2024,12,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,30,26
2024,12,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,4,4
2024,12,Public Safety Canada,Sécurité publique Canada,ps-sp,61,57
2024,12,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,17,13
2024,12,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,1,1
2024,12,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,49,45
2024,12,Royal Canadian Mint,Monnaie royale canadienne,mint-monnaie,1,1
2024,12,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,128,116
2024,12,Shared Services Canada,Services partagés Canada,ssc-spc,17,10
2024,12,Standards Council of Canada,Conseil canadien des normes,scc-ccn,1,1
2024,12,Statistics Canada,Statistique Canada,statcan,3,3
2024,12,Transport Canada,Transports Canada,tc,68,65
2024,12,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,6,6
2024,12,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,35,32
2024,12,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,1,1
2024,12,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,12,11
2024,12,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,2,1
2024,12,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,wage,6,5
2024,11,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,atssc-scdata,11,6
2024,11,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,25,14
2024,11,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa-apeca,3,3
2024,11,Business Development Bank of Canada,Banque de développement du Canada,bdc,4,4
2024,11,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,120,88
2024,11,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,cdev,3,2
2024,11,Canada Energy Regulator,La Régie de l’énergie du Canada,cer-rec,2,1
2024,11,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,2,2
2024,11,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,17,9
2024,11,Canada Post,Postes Canada,cpc-scp,6,2
2024,11,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,121,92
2024,11,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,4,2
2024,11,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,16,16
2024,11,Canadian Forces Morale and Welfare Services,Services de bien-être et moral des Forces canadiennes,cfmws-sbmfc,3,3
2024,11,Canadian Heritage,Patrimoine canadien,pch,63,58
2024,11,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,10,10
2024,11,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,7,7
2024,11,Canadian Race Relations Foundation,La Fondation Canadienne des relations raciales,crrf-fcrr,1,1
2024,11,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,8,8
2024,11,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,373,357
2024,11,Canadian Space Agency,Agence spatiale canadienne,csa-asc,5,2
2024,11,Canadian Transportation Agency,Office des transports du Canada,cta-otc,2,1
2024,11,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,3,3
2024,11,College of Immigration and Citizenship Consultants,Collège des Consultants en Immigration et en Citoyenneté,cicc-ccic,5,1
2024,11,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,11,5
2024,11,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,40,38
2024,11,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,15,15
2024,11,Defence Construction Canada,Construction de Défense Canada,dcc-cdc,1,1
2024,11,Department of Finance Canada,Ministère des Finances Canada,fin,96,79
2024,11,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,12,12
2024,11,Department of Justice Canada,Ministère de la Justice Canada,jus,32,27
2024,11,Elections Canada,Élections Canada,elections,3,3
2024,11,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,34,34
2024,11,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,28,21
2024,11,Export Development Canada,Exportation et développement Canada,edc,1,1
2024,11,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,feddevontario,3,3
2024,11,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,1,1
2024,11,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,12,4
2024,11,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,59,51
2024,11,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,189,170
2024,11,Health Canada,Santé Canada,hc-sc,121,116
2024,11,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,33,26
2024,11,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,719,438
2024,11,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac-aeic,1,1
2024,11,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,34,28
2024,11,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,90,84
2024,11,International Development Research Centre,Centre de recherches pour le développement international,idrc-crdi,1,1
2024,11,Laurentian Pilotage Authority Canada,Administration de pilotage des Laurentides Canada,lpa-apl,2,2
2024,11,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,383,339
2024,11,Montreal Port Authority,Administration portuaire de Montréal,mpa-apm,2,2
2024,11,National Capital Commission,Commission de la capitale nationale,ncc-ccn,6,5
2024,11,National Defence,Défense nationale,dnd-mdn,82,76
2024,11,National Film Board,Office national du film,nfb-onf,1,1
2024,11,National Gallery of Canada,Musée des beaux-arts du Canada,ngc-mbac,1,1
