Year,Month,Unique Identifier,Request Number,Summary - EN,Summary - FR,owner_org,Organization Name - EN,Organization Name - FR,Number of Informal Requests
2025,7,9a218f58b672075e4c01d387216fc2c6,A-2024-354,"Assessments on the implications for Canada of the geopolitical changes caused by the election of President Donald Trump, including the US administration's decision to start trade wars with western allies and align with Putin's Russia.","Évaluations des répercussions pour le Canada des changements géopolitiques provoqués par l’élection du président Donald Trump, notamment la décision de l’administration américaine de lancer des guerres commerciales avec ses alliés occidentaux et de s’aligner sur la Russie de Poutine.",csis-scrs,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,5
2025,7,a4218c00599fa09d6da9e520997860e0,ATI_2025-2026_001,"Records relating to communications between the NAC and Chinese officials, and the rental of “Shen Yun” in 2026 ","Documents relatifs aux communications entre le CNA et des responsables chinois, ainsi qu’à la location de « Shen Yun » en 2026.",nac-cna,National Arts Centre,Centre national des Arts,5
2025,7,a7d71ea2e5f0c1850ee78baa3967792e,A-2023-00511,"
From May 1, 2021 to February 22, 2024. All communications with Independent Jewish Voices (IJV). ",Du 1er mai 2021 au 22 février 2024. Toutes les communications avec Voix juives indépendantes (VJI). ,pch,Canadian Heritage,Patrimoine canadien,5
2025,7,0b13bb93b78bf07b4bb1756f80dc776c,A-2023-01608,"Records that mention a game plan or scenarios for how to respond if the United States becomes unstable, chaotic or adversely affected by a constitutional crisis or political uncertainty or any negative outcome from the 2024 presidential elections.","Documents mentionnant une stratégie ou des scénarios sur la manière de réagir si les États-Unis deviennent instables ou chaotiques, ou sont touchés par une crise constitutionnelle ou une incertitude politique, ou tout résultat négatif des élections présidentielles de 2024.",dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,4
2025,7,2cf53360be15db295ca18963fa0188c1,A-2025-06987,"Records from January 1, 2024, to February 12, 2025, of all memos, policy briefs, briefing notes, meeting minutes and similar records regarding deportation of individuals with expired study or residence permits. ","Documents du 1 janvier 2024 au 12 février 2025 de toutes les notes de service, notes d’orientation, notes d’information, procès-verbaux de réunions et documents similaires concernant l’expulsion de personnes ayant un permis d’études ou de résidence expiré.",cbsa-asfc,Canada Border Services Agency,Agence des services frontaliers du Canada,4
2025,7,304bed62e720333e6bc285360661fb66,A-2025-00075,"Documents from January 1, 2024 to May 21, 2025 referencing: Alberta separatism, The Alberta Prosperity Project, and/or Alberta’s Bill 54 and its implications for national security.","Documents du 1er janvier 2024 au 21 mai 2025 faisant référence : au séparatisme albertain, à l'Alberta Prosperity Project et/ou au projet de loi 54 de l'Alberta et à ses implications pour la sécurité nationale.",ps-sp,Public Safety Canada,Sécurité publique Canada,4
2025,7,6db285a2817702c977749875e320ee94,A-2024-159,"Records produced or received by CSIS relating to the Gaza encampment protests in Canada, disruptions to critical infrastructure or Pride parades and related sympathy demonstrations.","Documents produits et reçus par le SCRS sur les campements de manifestation de soutien à Gaza au Canada et sur la perturbation des infrastructures essentielles et des manifestations, notamment les défilés de la fierté.  ",csis-scrs,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,4
2025,7,77d7525c82367d4507afbeb9b1f58a0d,A-2024-353,"Threat assessments on the implications of the change in government in the United States and its implications for Canada, including President Trump's decision to pardon the Jan. 6 insurrectionists.","Évaluation de la menace relative au changement de gouvernement aux États-Unis et à ses répercussions pour le Canada, y compris la décision du président Trump de gracier les insurgés du 6 janvier.",csis-scrs,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,4
2025,7,7912f93e3a25487ebc13e2aa00455b2f,A-2024-03845,"Communications within the United States Division within GAC, at the Director General and above, as well as all media inquiries regarding Donald Trump's frequent comments suggesting Canada become the 51st state, dated from November 5, 2024 to January 13, 2025.","Les communications au sein de la division des États-Unis au sein dAMC, au niveau du directeur général et aux échelons supérieurs, ainsi que toutes les demandes des médias concernant les commentaires fréquents de Donald Trump suggérant que le Canada devienne le 51e État, datées du 5 novembre 2024 au 13 janvier 2025.",dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,4
2025,7,7eec8e7380eb3412f126ec47263e4e8e,A-2024-348,"Documents associated with the pressures or threats exerted by the President of the United States, Donald Trump, concerning the possibility of Canada becoming the 51st state of the United States, from 2024-11-29 to 2025-02-12","Documents en lien avec les pressions ou menaces exercées par le président des États-Unis, Donald Trump, concernant la possibilité que le Canada devienne le 51e État des États-Unis, entre 2024-11-29 et 2025-02-12. ",csis-scrs,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,4
2025,6,347cb8624b0d9c77d123a7d4636d829e,A-2024-00022,"Request records and documentation relating to Russian and Chinese space weapons posing a threat to Canadian satellites and national security, including : a) threat assessments, intelligence reports and Canadian Space Agency Analyses b) details on the specifications and capabilities of these space-based weapons c) incident reports and response plans for potential space weapon attacks. 
CLARIFICATION: CSA information only, and a timeframe from January 1, 2021 to July 1, 2024.","Touts documents et documentations relatifs aux armes spatiales russes et chinoises qui constituent une menace pour les satellites canadiens et la sécurité nationale, y compris : a) les évaluations de menace, les rapports de renseignement et les analyses de l’Agence spatiale canadienne; b) des détails sur les spécifications et les capacités de ces armes spatiales c) les rapports d’incident et les plans d’intervention en cas d’attaques potentielles avec des armes spatiales CLARIFICATION:  information pour l'ASC et une échéancier du 1er janvier 2021 au 1er juillet 2024.",csa-asc,Canadian Space Agency,Agence spatiale canadienne,4
2025,6,e528b4a1c4494bb2be133197393fc3ba,A-2021-00019,"As the 20-year ATIP exemption for security and law enforcement records immediately produced after the September 11, 2001 attacks has recently expired, I am seeking the following: Memoranda sent or received by the CSE Chief, Synopses of SIGINT reports generated by CSE related to the 9/11 attacks and the aftermath (final versions only), Analysis generated by CSE related to the 9/11 attacks and the aftermath (final versions only), Communications between CSE executives (Deputy Chief level and above) and: CSIS executives, Canadian Armed Forces Brass, the Minister of Defence, Deputy Minister of Defence or Prime Minister and Cabinet or the Clerk of the Privy Council.  Date range:  September 11, 2001 to September 16, 2001","Compte tenu de la fin de l’exemption de 20 ans en matière d’AIPRP pour les documents liés à la sécurité et à l’application de la loi élaborés à la suite des attentats du 11 septembre 2001, je souhaite obtenir ce qui suit :  notes de service envoyées ou reçues par le chef du CST, résumés de rapports SIGINT élaborés par le CST sur les attentats du 11 septembre 2001 et sur la suite des événements (versions finales),  analyses générées par le CST sur les attentats du 11 septembre 2001 et sur la suite des événements (versions finales), communications entre les cadres du CST (niveau de chef adjoint ou niveau supérieur) et les parties suivantes : cadres du SCRS, officiers des Forces armées canadiennes et Ministre de la Défense nationale, sous-ministre de la Défense nationale ou premier ministre, Cabinet ou greffier du Conseil privé. Plage de dates :  Du 11 septembre 2001 au 16 décembre 2001",csec-cstc,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,4
2025,6,0b13bb93b78bf07b4bb1756f80dc776c,A-2023-01608,"Records that mention a game plan or scenarios for how to respond if the United States becomes unstable, chaotic or adversely affected by a constitutional crisis or political uncertainty or any negative outcome from the 2024 presidential elections.","Documents mentionnant une stratégie ou des scénarios sur la manière de réagir si les États-Unis deviennent instables ou chaotiques, ou sont touchés par une crise constitutionnelle ou une incertitude politique, ou tout résultat négatif des élections présidentielles de 2024.",dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,3
2025,6,0b1b064c7dbc1573e9b8ec9e85c9d8ab,A-2024-01440,BN0022321: Letter to Amazon CEO,BN0022321 : Lettre au PDG d’Amazon,ic,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",3
2025,6,478c9c765482b8374984b0ce3160515d,A-2025-0003,"Indicators of program success in fiscal years 2021-2024 and anticipated funding envelopes for fiscal years 2024-2027 for the following programs:
Applied Public Health Chair;
Canada Research Chairs;
Integrated Youth Services Network of Networks Initiative (IYS-Net). 
Anticipated funding envelopes for fiscal years 2024-2027 for the following programs:
Canada Graduate Scholarships;
Catalyst Grant;
CIHR Fellowships;
Doctoral Research Awards (excluding Canada Graduate Scholarship);
Health System Impact ECR Program;
HIV/AIDS & STBBI Clinical Trials Research Network;
Human Frontiers in Science Program;
Integrated Youth Services Network of Networks Initiative (IYS-Net);
Operating Grant;
Planning and Dissemination Grants;
Project Grant;
Team Grant;
Training Grants;
Undergraduate Student Research Awards;
Vanier Canada Graduate Scholarships.","Indicateurs de réussite du programme pour les exercices 2021-2024 et enveloppes de financement prévues pour les exercices 2024-2027 pour les programmes suivants :
Programme de chaires de recherche appliquée en santé publique ;
Chaires de recherche du Canada ;
Initiative Réseau de réseaux – Services intégrés pour les jeunes (RR-SIJ).
Enveloppes de financement prévues pour les années fiscales 2024-2027 pour les programmes suivants :
Programme de bourses d’études supérieures du Canada ;
Subventions Catalyseur ;
Bourse de recherche des IRSC ;
Bourses de recherche au doctorat (à l'exclusion des bourses d’études supérieures) ;
Titulaires d’une bourse d’impact sur le système de santé à l’intention des chercheurs en début de carrière intégrés ;
Réseau pour des essais cliniques sur le VIH/sida et autres ITSS ;
Programme scientifique Frontières humaines ;
Initiative Réseau de réseaux – Services intégrés pour les jeunes (RR-SIJ) ;
Subventions de fonctionnement ;
Subventions de planification et de dissémination ;
Subventions Projet ;
Subventions d'équipe ;
Subventions de formation ;
Bourses de recherche de 1er cycle ;
Bourses d'études supérieures du Canada Vanier.",cihr-irsc,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,3
2025,6,4a4c1322cac10106fd5f02eade0004d4,A-2024-00215,Nutrition North Program Compliance Reports for 2023 and 2024.,Rapports de conformité du programme Nutrition Nord pour 2023 et 2024.,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,3
2025,6,58cd1bce2fd65d29cb7be8cc8703388c,2024-00074,FINTRAC Report to the Minister of Finance on Compliance and Related Activities 2023-24,Rapport de CANAFE au ministre des Finances sur la conformité et les activités connexes 2023-2024,fintrac-canafe,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,3
2025,6,7f0173b40376923ce26fc03758620d2f,A-2025-00003,"From January 1, 2025, all communication (including electronic correspondence) with the official agent of the Chrystia Freeland Liberal Party leadership campaign.",Fournir toutes les communications depuis le 1er janvier 2025 (y compris les correspondances électroniques) avec l’agent officiel de la campagne à la direction du Parti libéral menée par Chrystia Freeland.,elections,Elections Canada,Élections Canada,3
2025,6,8e235808a4d315cec1facd81f7d5652d,A-2021-01448,Briefing Note 02899-2021: Deputy Minister of International Trade meeting with Export Development Canada,Note d’information 02899-2021 : Réunion du sous-ministre du Commerce international avec Exportation et développement Canada,dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,3
2025,6,d5bfc60d49f18133fa27f23a5333953e,A-2023-02559,"I would like to see copies of all intake policies, instruction guides, manuals, training materials and any other ad hoc instruction provided to Service Canada LMIA intake officers who review LMIA applications for completeness and determine whether or not an application will be accepted for processing. The materials should outline all of the assessments and considerations to be made when deciding if the file will be accepted for processing or not. The materials should also reference the assessment of completeness for an LMIA submitted for multiple work locations, or when the business shows two or more addresses for work locations. The materials should address how the CAP calculation is to be handled in situations with more than one work location","J’aimerais examiner des copies de l’ensemble des politiques de réception des demandes, des guides d’instructions, des manuels, du matériel de formation et de toute autre consigne ponctuelle fournie aux agents qui reçoivent les demandes d’EIMT de Service Canada, qui les examinent pour s’assurer qu’elles sont complètes et qui déterminent si elles seront acceptées aux fins de traitement. Les documents doivent décrire toutes les évaluations et tous les points à prendre en considération aux fins de décider si le dossier sera ou non accepté aux fins de traitement. Les documents doivent également porter sur l’évaluation du caractère complet des demandes d’EIMT ayant trait à de multiples lieux de travail ou des demandes où l’entreprise affiche deux adresses ou plus à titre de lieux de travail. Les documents doivent indiquer comment le calcul de la limite doit être effectué dans les situations où il y a plus d’un lieu de travail.",esdc-edsc,Employment and Social Development Canada,Emploi et Développement social Canada,3
2025,5,ba734a4d0781b01ac192d385ff8fc7ef,A2025-0105944,"Decks, memos, or briefing notes concerning artificial intelligence or data centres prepared between January 1, 2025 and February 15, 2025 ","Présentations, mémos ou notes d’information concernant l’intelligence artificielle ou les centres de données préparés entre le 1er juillet 2024 et le 31 décembre 2024",iic-iac,Invest in Canada,Investir Au Canada,5
2025,5,334f101ec0091aaf847d7157931ff80e,ZA-2024-27742,"Records from January 1, 2023 to December 3, 2024 of all emails, including attachments and replies, presentations, calendar entries, and memos that include an email address ending in ""@palantir.com"" or ""@anduril.com"" or include the phrase ""Palantir"" or ""Anduril"".","Documents du 1er janvier 2023 au 3 décembre 2024 de tous les courriels, y compris les pièces jointes et les réponses, les présentations, les entrées dans le calendrier et les notes de service qui comprennent une adresse courriel se terminant par « @palantir.com » ou « @anduril.com » ou qui incluent l’expression « Palantir » ou « Anduril ».",cbsa-asfc,Canada Border Services Agency,Agence des services frontaliers du Canada,4
2025,5,b83a120985f0d6fa0fa8c2abf4800312,A-2024-00195,"Emails from Special Investigation and Internal Disclosure that mention Standing Committee on Government Operations and Estimates, March 1 to July 31, 2024.","Courriels de la Direction des enquêtes spéciales et de la divulgation interne dans lesquels il est fait mention du Comité permanent des opérations gouvernementales et des prévisions budgétaires, du 1er mars au 31 juillet 2024.",pwgsc-tpsgc,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,4
2025,5,c67457a823579429c1eecde84eab5ba0,A-2024-00010,All records of weather modification activities of any kind which occurred in Canada between 2008 to present date.,"Tous les registres d’activités de modification du temps, de quelque nature que ce soit, ayant eu lieu au Canada entre 2008 et aujourd’hui.",ec,Environment and Climate Change Canada,Environnement et Changement climatique Canada,4
2025,5,cec8e6cb6a1196facefad2c75de8ad18,A-2024-01679,Iam seeking copies of the following RPD decisions made between January 1st 2019 and Feb 28 2023 that were finalized on merit without a hearing for claimants from Afghanistan with the claim category and claim type: political opinion- organization: Taliban. There were 54 principal claims under this category approved without a hearing.,"Je demande les copies des décisions de la SPR rendues entre le 1er janvier 2019 et le 28 février 2023 et qui ont été tranchées sur le fond sans audience, concernant des demandeurs d’asile de l’Afghanistan dont la catégorie et le type de demande d’asile sont les suivants : opinions politiques - organisation : talibans. Il y a eu 54 demandes d’asile principales accueillies dans cette catégorie sans audience.",irb-cisr,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,4
2025,5,d64b0150c4c6bffb177e13126e326c51,A2025-0105942,"Decks, memos, or briefing notes concerning artificial intelligence or data centres prepared between July 1, 2024 and December 31, 2024 ","Présentations, mémos ou notes d’information concernant l’intelligence artificielle ou les centres de données préparés entre le 1er juillet 2024 et le 31 décembre 2024",iic-iac,Invest in Canada,Investir Au Canada,4
2025,5,22f18d99b8e916d0992b4c8c0a333ab3,A-2024-00411,Briefing note to the Minister CH2024‑01180: “Australia's social media ban for children under 16.”,Note d’information au ministre CH2024‑01180: « Interdiction des médias sociaux en Australie pour les enfants de moins de 16 ans».,pch,Canadian Heritage,Patrimoine canadien,3
2025,5,3df63c85d4ede85b84f919571059c2cf,A2025-0105940,"Decks, memos, or briefing notes concerning artificial intelligence or data centres prepared between January 1, 2024 and June 30, 2024","Présentations, mémos ou notes d’information concernant l’intelligence artificielle ou les centres de données préparés entre le 1er janvier 2024 et le 30 juin 2024",iic-iac,Invest in Canada,Investir Au Canada,3
2025,5,409098212d718ae9604a979bdee61d7d,A-2021-02366,"All briefing notes to the minister regarding Russia’s potential to invade Ukraine, and its eventual invasion of Ukraine. Date range Jan 1, 2021 to present.",Toutes les notes d’information à l’intention du ministre concernant le potentiel de la Russie d’envahir l’Ukraine et son éventuelle invasion de l’Ukraine. Plage de dates du 1er janvier 2021 à aujourd’hui.,dnd-mdn,National Defence,Défense nationale,3
2025,5,4d0b50e6571bf4ffaf89879448b8d4d5,A-2023-00965,"All detention review hearing transcripts from the month of September, 2023",Toutes les transcriptions d’audiences de contrôles des motifs de détention du mois de septembre 2023,irb-cisr,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,3
2025,4,17d7ead4362f1ec0363d8e406c632653,2025-03,"Please provide all emails, texts, memos, or other communications between former CEO Martin Imbeau (sic) and any employees of CDPQ Infra from 2021 to 2023.","Veuillez fournir tous les courriels, textes, mémos ou autres communications entre l'ancien PDG Martin Imbeau (sic) et tout employé de CDPQ Infra de 2021 à 2023.",mpa-apm,Montreal Port Authority,Administration portuaire de Montréal,26
2025,4,0840a2cb3bd6f7e62556b8584d4f1659,2025-01,"Please provide all emails, texts, memos, or other communications between former CEO Martin Imbeau (sic) and any employees of Air Canada from 2021 to 2023.","Veuillez fournir tous les courriels, textes, mémos ou autres communications entre l'ancien PDG Martin Imbeau (sic) et tout employé d'Air Canada entre 2021 et 2023.",mpa-apm,Montreal Port Authority,Administration portuaire de Montréal,25
2025,4,8174f53b87ab8d1aa988af97c79432ff,2025-04,"Access to information request regarding the Notice of Determination - Raising of the seabed at Pier 01 at the Contrecoeur Marine Terminal, Port of Montreal, dated February 4, 2025. Request: all documents providing information on the basis of which the above-mentioned Notice of Determination was issued. Without limiting the generality of the foregoing, we specifically request copies of documents that provide information on: - Community knowledge; - All advice from the Department of Fisheries and Oceans; - All technically and economically feasible mitigation measures. ","Demande d’accès à l’information relativement à l’Avis de détermination - Rehaussement du fond marin au quai 01 au Terminal maritime de Contrecoeur, Port de Montréal, daté du 4 février 2025. Demande: tous les documents permettant de connaître les éléments sur lesquels se fonde l’avis de détermination mentionné en objet. Sans limiter la généralité de ce qui précède, nous demandons en particulier copie des documents qui permettent de connaître: - Les connaissances des collectivités; - Tous les avis du Ministère des Pêches et des Océans; - Toutes les mesures d'atténuation réalisables sur les plans technique et économique. ",mpa-apm,Montreal Port Authority,Administration portuaire de Montréal,17
2025,4,33b585ea3c3c3b253e39045fca1b4199,A-2024-00445,Docket 208538: Dominion Coal Blocks – Next Steps.,Dossier 208538: Réserve fédérale de charbon – prochaines étapes.,nrcan-rncan,Natural Resources Canada,Ressources naturelles Canada,8
2025,4,3125a02eddd2b20e9250d0266f17234e,AF-2024-00066,"Please provide the contract details between CMHC and CMLS Financial regarding ""Delivery of the Canada Greener Homes Loans Initiative"". Specifically, I would like to obtain the following information: 
1. Contract Scope: A detailed description of the services/products to be provided. 
2. Term sand Conditions: All terms and conditions associated with the contract. 
3.Payment Terms: Information regarding payment schedules, amounts, and methods. 
4. Duration: The start and end dates of the contract, including any renewal or termination clauses. 
5. Responsibilities: The obligations and responsibilities of both parties involved. 

Additionally, please provide CMHC requirements and criteria used to select vendors regarding ""Delivery of the Canada Greener Homes Loans Initiative"" program. 
1. Any documents from CMHC requesting for proposal 
2. Communications among CMHC and vendors 
3. How procurement policy was implemented to determine suitable vendors 
4. Documentations and presentations around CMLS proposal to manage the program.","Veuillez fournir les détails du contrat entre la SCHL et la Financière CMLS concernant la mise en œuvre de l’initiative Prêt canadien pour des maisons plus vertes. Plus précisément, j’aimerais obtenir les renseignements suivants : 
1. Portée du contrat : Une description détaillée des services/produits à fournir. 
2. Modalités : Toutes les modalités du contrat. 
3. Modalités de paiement : Renseignements sur les calendriers, les montants et les méthodes de paiement. 
4. Durée : Les dates de début et de fin du contrat, y compris toute clause de renouvellement ou de résiliation. 
5. Responsabilités : Obligations et responsabilités des deux parties concernées. 

De plus, veuillez fournir les exigences de la SCHL et les critères utilisés pour sélectionner les fournisseurs concernant la mise en œuvre du programme Prêts canadiens pour des maisons plus vertes. 
1. Tout document de la SCHL demandant une proposition 
2. Communications entre la SCHL et les fournisseurs 
3. Comment la politique d’approvisionnement a été mise en œuvre pour déterminer les fournisseurs convenables 
4. Documents et présentations sur la proposition de la Financière CMLS pour gérer le programme.",cmhc-schl,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,6
2025,4,4357dacc2517090b30db7e5272291a5b,A-2019-09085,Re-scope: In the following files: searching for lists of names of individuals that were investigated by Canadian authorities for war crimes or lists of names/individuals provided to the Canadian government and its authorities by outside agencies/individuals.  R196 12916 Chart (1986) listing suspects and notes on investigation status Large green ledger heavily annotated indicating case file and general file references 1986 1986 1986 R196 12916 Chart (1986) listing suspects and notes on investigation status Large green ledger heavily annotated indicating case file and general file references [1986-1987] 1986 1987 R196 12920 Lists Several lists of names with associated notes and file numbers 1990 1990 1990 R196 12911 USSR file list 6 nov 89 Working file related to collecting file lists and noting status of suspects or investigations 1989-1990 1989 1990 R196 12931 41 Documents Accuse. Index of Select Names (Lithuania). [1980-1989] 1980 1989 R196 12932 85 O.S.I. Cases R196 12933 War Crimes Investigations Canada/Israel 1990 1990 1990 R196 12933 Response to the USSR List of Alleged War Criminals. April 1989 1989 1989 1989 R196 12935 [Files closed by Department of Justice] 1991 1991 1991 R196 12939 [Copy of letter from Soviet Ambassador to the Sollicitor General of Canada with list of alleged War Criminals residing in Canada.] 1980 1980 1980 *R196 12939 [Investigation File on ***.] [1990-1995] 1990 1995 *R196 12939 *** Case [Investigation File on ***] 1993 1993 1993 *R196 12939 [Investigation File: ***.] 1993 1993 1993 R196 12928 Subject Report - War Crimes -Sorted by Primary Surname - ON10136 - AC61 Only 1989 1989 1989 R196 12928 Subject Report - War Crimes -Sorted by Primary Surname - ON10136 - Zone WC Only 1990 1990 1990,dans les dossiers suivants: recherche de listes de noms de personnes qui ont fait l'objet d'une enquête par les autorités canadiennes pour crimes de guerre ou de listes de noms / personnes fournies au gouvernement canadien et à ses autorités par des agences / individus extérieurs.  R196 12916 le graphique (1986) liste des suspects et notes sur l'état de l'enquête Grand grand livre vert fortement annoté indiquant le dossier et les références générales du dossier 1986 1986 1986 R196 12916 le graphique (1986) liste des suspects et notes sur l'état de l'enquête Grand grand livre vert fortement annoté indiquant le dossier et les références générales du dossier [1986-1987] 1986 1987 R196 12920 Plusieurs listes de noms avec des notes et des numéros de fichiers associés 1990 1990 1990 R196 12911 USSR liste des dossiers 6 nov 89 Dossier de travail lié à la collecte des listes de dossiers et à la note de l'état des suspects ou des enquêtes 1989-1990 1989 1990 R196 12931 41 «Documents Accuse. Index of Select Names (Lithuania). [1980-1989] 1980 1989 R196 12932 85 O.S.I. Cases R196 12933 War Crimes Investigations Canada/Israel 1990 1990 1990 R196 12933 Response to the USSR List of Alleged War Criminals. April 1989 1989 1989 1989 R196 12935 [Files closed by Department of Justice] 1991 1991 1991 R196 12939 [Copy of letter from Soviet Ambassador to the Sollicitor General of Canada with list of alleged War Criminals residing in Canada.] 1980 1980 1980 *R196 12939 [Investigation File on ***.] [1990-1995] 1990 1995 *R196 12939 *** Case [Investigation File on ***] 1993 1993 1993 *R196 12939 [Investigation File: ***.] 1993 1993 1993 R196 12928 Subject Report - War Crimes -Sorted by Primary Surname - ON10136 - AC61 Only 1989 1989 1989 R196 12928 Subject Report - War Crimes -Sorted by Primary Surname - ON10136 - Zone WC Only 1990 1990 1990»,lac-bac,Library and Archives Canada,Bibliothèque et Archives Canada,6
2025,4,22f18d99b8e916d0992b4c8c0a333ab3,A-2024-00411,Briefing note to the Minister CH2024‑01180: “Australia's social media ban for children under 16.”,Note d’information au ministre CH2024‑01180: « Interdiction des médias sociaux en Australie pour les enfants de moins de 16 ans».,pch,Canadian Heritage,Patrimoine canadien,5
2025,4,644ad73632be17df12aeade76abf52cd,A-2024-01043,"Full copy of a report completed by Deloitte Canada about the temporary foreign worker program. The review by Deloitte was completed by June 2024 at the request of Employment and Social Development Canada, but has not been released to the public.","Copie intégrale d’un rapport préparé par Deloitte Canada sur le Programme des travailleurs étrangers temporaires. Le rapport a été demandé par Emploi et Développement social Canada et Deloitte l’a terminé en juin 2024, mais il n’a pas été rendu public.",esdc-edsc,Employment and Social Development Canada,Emploi et Développement social Canada,5
2025,4,9b22975853fda316b14952392752201c,A-2024-00034,"Copy of briefing note 4727146 entitled: ""Commercial Space Operations"" ","Copie de la note d'information 4727146 intitulée : ""Opérations dans l'Espace Commercial""",cta-otc,Canadian Transportation Agency,Office des transports du Canada,5
2025,4,aae437458017ec2829ef0d6bdb5120e8,EA2024_0068658,Provide work description for CEO,Fournir une description de travail au directeur général,tbpa-aptb,Thunder Bay Port Authority,Administration portuaire de Thunder Bay,5
